critic,fresh,imdb,link,publication,quote,review_date,rtid,title
Geoff Andrew,rotten,0077711,http://www.timeout.com/film/reviews/78342/autumn_sonata.html,Time Out,"Of course Bergman's actresses suffer superbly in microscopic close-up, but the nagging doubt persists as to whether this is incisive psychodrama or just those old nordic blues again.",2006-02-09 00:00:00,12336,Hostsonaten (Autumn Sonata)
Dave Kehr,rotten,0061184,http://www.chicagoreader.com/chicago/whos-afraid-of-virginia-woolf/Film?oid=1069783,Chicago Reader,"When Nichols finally settles down, it's almost too late.",2007-06-28 00:00:00,18414,Who's Afraid of Virginia Woolf?
Geoff Andrew,fresh,0061184,http://www.timeout.com/film/reviews/64552/whos_afraid_of_virginia_woolf.html,Time Out,Edward Albee's vitriolic stage portrayal of domestic blisslessness translated grainily and effectively to the screen.,2006-02-11 00:00:00,18414,Who's Afraid of Virginia Woolf?
Stanley Kauffmann,fresh,0061184,http://movies.nytimes.com/movie/review?res=9E04E3DA1731E43BBC4C51DFB066838D679EDE&partner=Rotten Tomatoes,New York Times,"And in its forthright dealing with the play, this becomes one of the most scathingly honest American films ever made.",2003-05-21 00:00:00,18414,Who's Afraid of Virginia Woolf?
,fresh,0061184,http://www.variety.com/review/VE1117796363.html?categoryid=31&cs=1,Variety,"Keen adaptation and handsome production by Ernest Lehman, outstanding direction by Mike Nichols in his feature debut, and four topflight performances score an artistic bullseye.",2001-02-13 00:00:00,18414,Who's Afraid of Virginia Woolf?
Dwight Garner,fresh,0061184,http://www.salon.com/march97/garner970321.html,Salon.com,"'You have ugly talents,' George says, almost admiringly, to Martha. So does this movie.",2000-01-01 00:00:00,18414,Who's Afraid of Virginia Woolf?
,rotten,0092513,http://www.timeout.com/film/reviews/77509/adventures_in_babysitting.html,Time Out,"Chris sets off on a rescue mission, and ends up running the gauntlet of big city perils in a belaboured spinning-out of a weak storyline.",2006-06-24 00:00:00,10112,Adventures in Babysitting
Rita Kempley,fresh,0092513,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/adventuresinbabysittingpgkempley_a0ca75.htm,Washington Post,"A sweet-natured, adolescent variation on the big-city black comedy After Hours.",2000-01-01 00:00:00,10112,Adventures in Babysitting
Roger Ebert,rotten,0092513,http://www.rogerebert.com/reviews/adventures-in-babysitting-1987,Chicago Sun-Times,"By the end of the film, I'd had a couple of real laughs and a few interesting moments, but that was about all.",2000-01-01 00:00:00,10112,Adventures in Babysitting
Variety Staff,rotten,0090305,http://www.variety.com/review/VE1117796248.html?categoryid=31&cs=1,Variety,Weird Science veers off into a typical coming-of-age saga without exploring any of the psychological territory it lightly sails over in the early going.,2008-02-27 00:00:00,12065,Weird Science
,rotten,0090305,http://www.timeout.com/film/reviews/64343/weird_science.html,Time Out,This is ordinary stuff that's aged about as well as Mitchell-Smith's clunky computer.,2006-01-26 00:00:00,12065,Weird Science
Janet Maslin,rotten,0090305,http://movies.nytimes.com/movie/review?_r=1&res=9506EEDF1038F931A3575BC0A963948260,New York Times,Even 14-year-old boys may find it heavy sledding.,2003-05-20 00:00:00,12065,Weird Science
Roger Ebert,fresh,0090305,http://www.rogerebert.com/reviews/weird-science-1985,Chicago Sun-Times,Weird Science combines two great traditions in popular entertainment: Inflamed male teenage fantasies and Frankenstein's monster.,2000-01-01 00:00:00,12065,Weird Science
Leonard Klady,rotten,0118998,http://www.variety.com/review/VE1117477646.html?categoryid=31&cs=1,Variety,"Slim on story and rife with scatological jokes, the film may strike a chord with pre-teens but misses for an older crowd despite some nifty effects and broad humor.",2009-03-26 00:00:00,11211,Dr. Dolittle
Derek Adams,fresh,0118998,http://www.timeout.com/film/reviews/65571/doctor_dolittle.html,Time Out,"Murphy's likeable, the script's laden with a gaggle of one-liners, and there's even a vague message nestling beneath the zoological chaos.",2006-01-26 00:00:00,11211,Dr. Dolittle
Roger Ebert,fresh,0118998,http://www.rogerebert.com/reviews/doctor-dolittle-1998,Chicago Sun-Times,"The movie will not harm anyone, and in the audience I saw it with, lots of parents and kids seemed to be laughing together.",2000-01-01 00:00:00,11211,Dr. Dolittle
Stephanie Zacharek,fresh,0118998,http://www.salon.com/ent/movies/reviews/1998/06/25review.html,Salon.com,"The old actor's rule -- never work with animals or kids -- has never seemed more apt. The animals steal the scene from Murphy every time, and he gives it up gladly.",2000-01-01 00:00:00,11211,Dr. Dolittle
Bob Graham,rotten,0118998,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1998/06/26/DD83558.DTL,San Francisco Chronicle,Dr. Dolittle runs out of ideas long before the projector runs out of film.,2000-01-01 00:00:00,11211,Dr. Dolittle
James Berardinelli,rotten,0118998,http://www.reelviews.net/php_review_template.php?identifier=1879,ReelViews,"A cloying, humorless motion picture whose only assets are the work of Jim Henson's Creature Shop and a couple of good one-liners by a pair of rodents.",2000-01-01 00:00:00,11211,Dr. Dolittle
Richard Schickel,fresh,0117218,"http://www.time.com/time/magazine/article/0,9171,984817,00.html",TIME Magazine,"[Murphy] is able to invest his Professor Klump with an endearing dignity, give his lounge lizard alter ego, Buddy Love, an alligator's bite and then go on from there to play Klump's grandma. Also his mother, father and brother.",2009-06-06 00:00:00,11123,The Nutty Professor
Variety Staff,fresh,0117218,http://www.variety.com/review/VE1117793629.html?categoryid=31&cs=1,Variety,Murphy's most assured work in some time.,2009-03-26 00:00:00,11123,The Nutty Professor
Edward Guthmann,fresh,0117218,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/06/28/DD25395.DTL,San Francisco Chronicle,"This is a chance to see Murphy doing what he does best, and for that alone it's worth seeing.",2002-06-18 00:00:00,11123,The Nutty Professor
,rotten,0117218,http://www.globeandmail.com/servlet/ArticleNews/movie/TVCONNECT/00010101/100666,Globe and Mail,The flick is sketch comedy spun out to feature length.,2002-04-12 00:00:00,11123,The Nutty Professor
Kenneth Turan,fresh,0117218,"http://www.calendarlive.com/movies/reviews/cl-movie960628-5,0,6333828.story",Los Angeles Times,"Messy, raucous, crude and undisciplined though this remake of the 1963 Jerry Lewis vehicle is, it also creates more laughter (and poignancy) than any Eddie Murphy movie has in quite some time.",2001-02-14 00:00:00,11123,The Nutty Professor
Janet Maslin,fresh,0117218,http://movies.nytimes.com/movie/review?res=9F04E4D71239F93BA15755C0A960958260&partner=Rotten Tomatoes,New York Times,"Murphy proves himself a surprisingly strong actor here, playing Sherman with sweetness and poignancy, not to mention loads of funny weight-related humor.",2000-01-01 00:00:00,11123,The Nutty Professor
James Berardinelli,rotten,0117218,http://www.reelviews.net/php_review_template.php?identifier=1876,ReelViews,This movie is a little too interested in easy jokes to bother with having a heart.,2000-01-01 00:00:00,11123,The Nutty Professor
Roger Ebert,fresh,0117218,http://www.rogerebert.com/reviews/the-nutty-professor-1996,Chicago Sun-Times,"The movie succeeds in two different ways: It's sweet and good-hearted, and then again it's raucous slapstick and bathroom humor.",2000-01-01 00:00:00,11123,The Nutty Professor
Jonathan Rosenbaum,fresh,0117218,http://www.chireader.com/movies/archives/0796/07196.html,Chicago Reader,"Murphy outdoes himself by bringing pathos as well as sweetness to the character, arguably making him a viable update of Lewis's bucktoothed Julius Kelp.",2000-01-01 00:00:00,11123,The Nutty Professor
Susan Stark,fresh,0117218,http://data.detnews.com/movies/details.hbs?myrec=196,Detroit News,"The Nutty Professor isn't much of a movie, but it's certainly a prime showcase for Eddie Murphy's enormous talent.",2000-01-01 00:00:00,11123,The Nutty Professor
Derek Adams,fresh,0413895,http://www.timeout.com/film/reviews/83519/charlotte-s_web.html,Time Out,"Youngsters will warm to the barn's talking animals and perhaps even shed a tear at the sight of a spider shuffling off the mortal coil. Arachnaphobes, though, are advised to approach with caution.",2007-02-08 00:00:00,376862102,Charlotte's Web
Joshua Rothkopf,fresh,0413895,http://www.timeoutny.com/newyork/Details.do?page=1&xyurl=xyl://TONYWebArticles2/585-586/film/charlotte_s_web.xml,Time Out New York,Any tears you may shed will be wholly earned.,2007-02-03 00:00:00,376862102,Charlotte's Web
Tom Charity,fresh,0413895,http://www.cnn.com/2006/SHOWBIZ/Movies/12/14/review.charlotte/index.html,CNN.com,"I think what's most valuable here is the gentle reminder that lives are short, friendship is priceless and words can make a difference. The movie Charlotte's Web isn't a classic, but the message is.",2006-12-30 00:00:00,376862102,Charlotte's Web
Wesley Morris,fresh,0413895,http://www.boston.com/ae/movies/articles/2006/12/15/a_new_spin_on_charlottes_web,Boston Globe,"Woe be to the child who doesn't mist up at this movie, since it's been made if not with zip, wit, or imagination, then at least with sweetness. But I hope no one will think the film is an adequate replacement for White's book. That would be a crime.",2006-12-30 00:00:00,376862102,Charlotte's Web
Bill Muller,fresh,0413895,http://www.azcentral.com/ent/movies/articles/1215charlotte1215.html,Arizona Republic,"There's too much talent and too strong a story to mess it up. There was potential for more here, but this incarnation is nothing to be ashamed of, and some of the actors answer the bell.",2006-12-30 00:00:00,376862102,Charlotte's Web
James Berardinelli,fresh,0413895,http://www.reelviews.net/php_review_template.php?identifier=886,ReelViews,"Charlotte's Web has all the requisite elements that a family film needs to succeed and endure: humor, drama, pathos, and an emotionally satisfying ending.",2006-12-18 00:00:00,376862102,Charlotte's Web
Stephanie Zacharek,fresh,0413895,http://www.salon.com/ent/movies/review/2006/12/15/charlotte,Salon.com,"Best of all may be the narration, by Sam Shepard: His voice, the kind of voice God might have if he'd ever smoked Camels, frames this gentle but potent little story with good-natured authority, making it feel modern and ageless at once.",2006-12-15 00:00:00,376862102,Charlotte's Web
Peter Howell,fresh,0413895,http://www.thestar.com/NASApp/cs/ContentServer?pagename=thestar/Layout/Article_Type1&c=Article&cid=1166136613503&call_pageid=976600361453&col=969048864482,Toronto Star,"It's a movie so modest and gentle, you'll hear your neighbour's popcorn crunch. But you may also hear your heart beating. And there's nothing wrong with that.",2006-12-15 00:00:00,376862102,Charlotte's Web
Moira MacDonald,fresh,0413895,http://seattletimes.nwsource.com/html/movies/2003477741_charlottes150.html,Seattle Times,"The film, directed by Gary Winick (13 Going on 30) has a sweetness of its own.",2006-12-15 00:00:00,376862102,Charlotte's Web
Ruthe Stein,fresh,0413895,http://www.sfgate.com/cgi-bin/article.cgi?file=/c/a/2006/12/15/DDGR7MV5CE1.DTL&type=movies,San Francisco Chronicle,"Charlotte's Web, a splendid new screen adaptation of White's 1952 children's book, gloriously brings the classic to life. If you've never read it, this is a perfect introduction.",2006-12-15 00:00:00,376862102,Charlotte's Web
Roger Moore,fresh,0413895,"http://www.orlandosentinel.com/entertainment/movies/orl-db-moviereviews-searchresults,0,3279701,results.formprofile?turbine_cdb_lib__cdb_01_txt=Charlotte%27s%20Web&Find+it%21=Submit+Query",Orlando Sentinel,"""Some pig?"" Sure. Some spider. And some book. Some movie, too.",2006-12-15 00:00:00,376862102,Charlotte's Web
Stephen Whitty,rotten,0413895,http://www.nj.com/movies/,Newark Star-Ledger,"Unfortunately, Charlotte's Web is an unremarkable collection of cute kids, talking animals and syrupy sentiment. There's little of White's original spare style and even less to entertain anyone but the very undemanding.",2006-12-15 00:00:00,376862102,Charlotte's Web
Elizabeth Weitzman,rotten,0413895,http://www.nydailynews.com/entertainment/movies/moviereviews/story/480291p-403962c.html,New York Daily News,"Like its porcine protagonist, E.B. White's classic 1952 story Charlotte's Web manages to be both radiant and humble. If only the same could be said for Gary Winick's live-action adaptation, which is neither.",2006-12-15 00:00:00,376862102,Charlotte's Web
Peter Debruge,rotten,0413895,http://ae.miami.com/entertainment/ui/miami/movie.html?id=351540&reviewId=21958,Miami Herald,"Fanning isn't quite right. No doubt the ubiquitous young lady is the first child actor anyone pictures as Fern, but is there ever a moment in which the audience isn't aware they're watching Dakota Fanning in the part?",2006-12-15 00:00:00,376862102,Charlotte's Web
Kevin Crust,rotten,0413895,"http://www.calendarlive.com/movies/reviews/cl-et-charlotte15dec15,0,6786054.story",Los Angeles Times,"The ads promise magic, but apart from the requisite heart-tugging finale, what it delivers is uneventful.",2006-12-15 00:00:00,376862102,Charlotte's Web
Bruce Westbrook,rotten,0413895,http://www.chron.com/disp/story.mpl/ent/movies/reviews/4357815.html,Houston Chronicle,"Charlotte's Web adapts a classic, which is not to say it is one.",2006-12-15 00:00:00,376862102,Charlotte's Web
Richard Schickel,fresh,0078480,"http://www.time.com/time/magazine/article/0,9171,946188,00.html?promoid=googlep",TIME Magazine,A rare movie that keeps kids on the edge of their chairs without inducing in their parents an overwhelming desire to escape theirs for a smoke in the lobby.,2008-09-04 00:00:00,10301,Watership Down
Dave Kehr,rotten,0078480,http://onfilm.chicagoreader.com/movies/capsules/9104_WATERSHIP_DOWN,Chicago Reader,"A brief spark of imagination survives in a prologue sequence, designed by the great John Hubley before he was fired from the film. The rest is blandness.",2008-09-03 00:00:00,10301,Watership Down
,rotten,0078480,http://www.timeout.com/film/reviews/64284/watership_down.html,Time Out,"The 'camera' takes a conventionally objective viewpoint, perpetually rolling over rolling countryside, which effectively robs the plot of all its terror and tension.",2006-01-26 00:00:00,10301,Watership Down
Jeff Unger,fresh,0084649,"http://www.ew.com/ew/article/0,,318188,00.html",Entertainment Weekly,"Bluth and his animators, bless them, chose to revive an endangered art form -- classically detailed animation. They drew their characters exquisitely and gave them individual personalities.",2013-11-20 00:00:00,9485,The Secret of NIMH
Dave Kehr,fresh,0084649,http://onfilm.chicagoreader.com/movies/capsules/10796_SECRET_OF_NIMH,Chicago Reader,"Not enthralling, but worth seeing for anyone interested in the mechanics of this arcane art.",2008-09-03 00:00:00,9485,The Secret of NIMH
Variety Staff,fresh,0084649,http://www.variety.com/review/VE1117794723.html?categoryid=31&cs=1,Variety,"Every character moves fluidly and imaginatively against an extravaganza of detailed background and dazzling effects, all emboldened by fascinating colored textures.",2008-08-31 00:00:00,9485,The Secret of NIMH
Richard Corliss,fresh,0084649,"http://www.time.com/time/magazine/article/0,9171,922968,00.html?promoid=googlep",TIME Magazine,It is something gorgeous to look at.,2008-08-31 00:00:00,9485,The Secret of NIMH
Derek Adams,fresh,0084649,http://www.timeout.com/film/reviews/74244/the_secret_of_nimh.html,Time Out,"It's a spectacular return to the shimmering, mesmerising deep-focus animation associated with Disney's classic period...",2006-06-24 00:00:00,9485,The Secret of NIMH
Roger Ebert,fresh,0084649,http://www.rogerebert.com/reviews/the-secret-of-nimh-1982,Chicago Sun-Times,"It looks good, moves well, and delights our eyes.",2004-10-23 00:00:00,9485,The Secret of NIMH
Vincent Canby,rotten,0084649,http://movies.nytimes.com/movie/review?res=9901E5DB103BF933A05754C0A964948260&partner=Rotten Tomatoes,New York Times,The story manages to be sentimental without being especially moving.,2004-08-30 00:00:00,9485,The Secret of NIMH
Colin Covert,fresh,0083791,http://www.startribune.com/stories/1553/5493510.html,Minneapolis Star Tribune,You have to love a fantasy whose greatest peril is the Bog of Eternal Stench.,2005-07-07 00:00:00,10235,The Dark Crystal
Vincent Canby,rotten,0083791,http://movies.nytimes.com/movie/review?res=9F02E6D71038F934A25751C1A964948260&partner=Rotten Tomatoes,New York Times,"The screenplay by David Odell, based on a story by Mr. Henson, is without any narrative drive whatever. It's without charm as well as interest.",2004-08-30 00:00:00,10235,The Dark Crystal
Variety Staff,rotten,0090633,http://www.variety.com/review/VE1117796748.html?categoryid=31&cs=1,Variety,"Cartoons with ambitions even this noble are as rare as Steven Spielberg films that lose money, but every character and every situation presented herein have been seen a thousand times before.",2008-09-10 00:00:00,9541,An American Tail
Pat Graham,fresh,0090633,http://onfilm.chicagoreader.com/movies/capsules/306_AMERICAN_TAIL,Chicago Reader,The overall quality of the animation -- baroquely executed if rather conventionally conceived -- makes it worth a look,2008-09-10 00:00:00,9541,An American Tail
Geoff Andrew,rotten,0090633,http://www.timeout.com/film/reviews/77866/an_american_tail.html,Time Out,"For all its state-of-the-art animation techniques, Spielberg's production remains resolutely conservative: visually it's virtually indistinguishable from Walt at his wimpiest.",2006-06-24 00:00:00,9541,An American Tail
Vincent Canby,rotten,0090633,http://movies.nytimes.com/movie/review?res=9A0DE0DA163EF932A15752C1A960948260&partner=Rotten Tomatoes,New York Times,Witless if well-meaning.,2004-08-30 00:00:00,9541,An American Tail
Paul Attanasio,rotten,0090633,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/anamericantailgattanasio_a0ad78.htm,Washington Post,It may be that the truly American tale here is the spectacle of an artist squandering his awesome gifts on the way to becoming a Hollywood institution.,2000-01-01 00:00:00,9541,An American Tail
Roger Ebert,rotten,0090633,http://www.rogerebert.com/reviews/an-american-tail-1986,Chicago Sun-Times,"he movie has such vague ethnic grounds, however, that only a few children will understand or care that the Mousekewitzes are Jewish. And few of those are likely to be entertained by such a tragic, gloomy story.",2000-01-01 00:00:00,9541,An American Tail
Rita Kempley,fresh,0090633,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/anamericantailgkempley_a0cad4.htm,Washington Post,A bright-eyed tale of Jewish triumphs that will find a place in many young hearts.,2000-01-01 00:00:00,9541,An American Tail
Roger Ebert,rotten,0089469,http://www.rogerebert.com/reviews/legend-1986,Chicago Sun-Times,"All of the special effects in the world, and all of the great makeup, and all of the great Muppet creatures can't save a movie that has no clear idea of its own mission and no joy in its own accomplishment.",2000-01-01 00:00:00,10086,Legend
Variety Staff,fresh,0088128,http://www.variety.com/review/VE1117794929.html?categoryid=31&cs=1,Variety,"There's also a darkly handsome high school heartbreak kid (Michael Schoeffling), a merciful brisk pace, some quick humor (visual and verbal), and a solid music track.",2007-07-18 00:00:00,15348,Sixteen Candles
Dave Kehr,rotten,0088128,http://onfilm.chicagoreader.com/movies/capsules/11937_SIXTEEN_CANDLES,Chicago Reader,"As the girl, Molly Ringwald is natural and appealing, but she's lost in a world of blunt, vicious caricatures.",2007-07-18 00:00:00,15348,Sixteen Candles
Derek Adams,fresh,0088128,http://www.timeout.com/film/reviews/74743/sixteen_candles.html,Time Out,Sly humour and an appreciative ear for the demotic improv of teenage chat completes an attractive package.,2006-06-24 00:00:00,15348,Sixteen Candles
Roger Ebert,fresh,0088128,http://www.rogerebert.com/reviews/sixteen-candles-1984,Chicago Sun-Times,A sweet and funny movie about two of the worst things that can happen to a girl on her sixteenth birthday.,2004-10-23 00:00:00,15348,Sixteen Candles
Janet Maslin,fresh,0088128,http://movies.nytimes.com/movie/review?res=9F00E0DA1038F937A35756C0A962948260&partner=Rotten Tomatoes,New York Times,"Most of the the movie is cheerful and light, showcasing Mr. Hughes's knack for remembering all those aspects of middle-class American adolescent behavior that anyone else might want to forget.",2003-05-20 00:00:00,15348,Sixteen Candles
James Berardinelli,rotten,0088128,http://www.reelviews.net/php_review_template.php?identifier=1640,ReelViews,"Some of the material works marvelously well, but the stuff that doesn't takes the movie down with it.",1984-01-01 00:00:00,15348,Sixteen Candles
Variety Staff,fresh,0091790,http://www.variety.com/review/VE1117794123.html?categoryid=31&cs=1,Variety,Pretty in Pink is a rather intelligent (if not terribly original) look at adolescent insecurities.,2007-07-18 00:00:00,10073,Pretty in Pink
Dave Kehr,rotten,0091790,http://onfilm.chicagoreader.com/movies/capsules/7302_PRETTY_IN_PINK,Chicago Reader,"This is like every other Hughes film, just a little shoddier.",2007-07-18 00:00:00,10073,Pretty in Pink
Derek Adams,fresh,0091790,http://www.timeout.com/film/reviews/71383/pretty_in_pink.html,Time Out,"To be able to give this kind of stuff new and sympathetic twists is a tribute to Hughes' skill with narrative, and to Ringwald's magnetism as a performer.",2006-06-24 00:00:00,10073,Pretty in Pink
Janet Maslin,fresh,0091790,http://movies.nytimes.com/movie/review?res=9A0DE7DC123BF93BA15751C0A960948260&partner=Rotten Tomatoes,New York Times,"Miss Ringwald's pouty naturalness remains her biggest asset, and her performance is once again appealing.",2003-05-20 00:00:00,10073,Pretty in Pink
Roger Ebert,fresh,0091790,http://www.rogerebert.com/reviews/pretty-in-pink-1986,Chicago Sun-Times,"Although it is not a great movie, it contains some moments when the audience is likely to think, yes, being 16 was exactly like that.",2000-01-01 00:00:00,10073,Pretty in Pink
,rotten,0090848,http://www.timeout.com/film/reviews/69343/the_clan_of_the_cave_bear.html,Time Out,"This is Reader's Digest prehistory, though at least director Chapman (cameraman on Raging Bull) makes sure the murky caves look nice.",2006-02-09 00:00:00,13412,The Clan of the Cave Bear
Roger Ebert,rotten,0090848,http://www.rogerebert.com/reviews/the-clan-of-the-cave-bear-1986,Chicago Sun-Times,"The filmmakers made no effort to empathize with their prehistoric characters, to imagine what it might have really been like back then.",2000-01-01 00:00:00,13412,The Clan of the Cave Bear
John Hartl,rotten,0140796,http://community.seattletimes.nwsource.com/archive/?date=19980814&slug=2766383,Seattle Times,"The original film's director, Charles Martin Smith... has been replaced by Richard Martin, who brings a family-hour blandness to every scene.",2013-05-29 00:00:00,9592,Air Bud 2 - Golden Receiver
Monica Eng,rotten,0140796,http://articles.chicagotribune.com/1998-08-14/entertainment/9808140098_1_air-bud-kevin-zegers-golden-receiver,Chicago Tribune,"[The film is] marked by dumbfoundingly bad dialogue, cliche-driven plotting and groan-worthy predictability.",2013-05-29 00:00:00,9592,Air Bud 2 - Golden Receiver
Leonard Klady,rotten,0140796,http://www.variety.com/review/VE1117477739.html?categoryid=31&cs=1,Variety,"As sequels go, Air Bud: Golden Receiver is barking up the wrong tree.",2008-12-04 00:00:00,9592,Air Bud 2 - Golden Receiver
Anita Gates,fresh,0140796,http://movies.nytimes.com/movie/review?res=9F05EEDE133AF937A2575BC0A96E958260&partner=Rotten Tomatoes,New York Times,The film is pleasantly sweet and occasionally sharp.,2000-01-01 00:00:00,9592,Air Bud 2 - Golden Receiver
Paul Tatara,rotten,0140796,http://www.cnn.com/SHOWBIZ/Movies/9808/19/review.air.bud/index.html,CNN.com,"Though the movie is inept in a number of key ways, what it really lacks is a lead actor who can carry his scenes with an un-doggish panache.",2000-01-01 00:00:00,9592,Air Bud 2 - Golden Receiver
Bob Graham,fresh,0140796,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1998/08/14/DD10578.DTL,San Francisco Chronicle,"It's a Styrofoam-cup comedy, lightweight and disposable, but this G-rated fantasy of suburban family life is a good bet for its intended audience of 12-year-olds and younger.",2000-01-01 00:00:00,9592,Air Bud 2 - Golden Receiver
Roger Ebert,rotten,0140796,http://www.rogerebert.com/reviews/air-bud-2-golden-receiver-1998,Chicago Sun-Times,Air Bud 2: Golden Receiver is a pale shadow of the entertaining 1997 family movie. It's a sequel that lacks the spirit and sweetness of the original.,2000-01-01 00:00:00,9592,Air Bud 2 - Golden Receiver
Liam Lacey,rotten,0120703,http://www.globeandmail.com/servlet/ArticleNews/movie/MOVIEREVIEWS/19980911/TASTEL,Globe and Mail,"The movie meanders on and on, like a bad sexual dream, until you finally wake up mumbling: Stella, please: leave that groove thang alone.",2002-04-12 00:00:00,16561,How Stella Got Her Groove Back
Kenneth Turan,fresh,0120703,"http://www.calendarlive.com/movies/reviews/cl-movie980813-7,0,6792580.story",Los Angeles Times,"Stella may be frothy and paper-thin, but it's also another great success for star Angela Bassett, who transforms the film into an infomercial for her considerable abilities.",2001-02-14 00:00:00,16561,How Stella Got Her Groove Back
Roger Ebert,rotten,0120703,http://www.rogerebert.com/reviews/how-stella-got-her-groove-back-1998,Chicago Sun-Times,"I never felt Stella and Winston were on the same wavelength, that they could share their lives, that it would be a good idea for them to try.",2000-01-01 00:00:00,16561,How Stella Got Her Groove Back
Joe Baltake,fresh,0120703,http://www.movieclub.com/reviews/archives/98stella/stella.html,Sacramento Bee,It's scrumptious junk food for the brain -- tasty and probably not the least bit good for you.,2000-01-01 00:00:00,16561,How Stella Got Her Groove Back
Tom Long,rotten,0120703,http://data.detnews.com/movies/details.hbs?myrec=618,Detroit News,"All formula gloss, a romance that tackles some difficult issues by missing them altogether.",2000-01-01 00:00:00,16561,How Stella Got Her Groove Back
Stephen Holden,fresh,0120703,http://movies.nytimes.com/movie/review?res=9C04E6DD133AF937A2575BC0A96E958260&partner=Rotten Tomatoes,New York Times,Ms. Bassett portrays this high-strung superwoman with such intensity that she makes her almost believable.,2000-01-01 00:00:00,16561,How Stella Got Her Groove Back
Paul Tatara,fresh,0120703,http://www.cnn.com/SHOWBIZ/Movies/9808/14/review.stella/index.html,CNN.com,"Women of all ages and races will undoubtedly cheer Stella on as she wrestles with the dilemma of falling in love with a younger man, and by doing so, gets her groove back ... baby.",2000-01-01 00:00:00,16561,How Stella Got Her Groove Back
James Berardinelli,fresh,0120703,http://www.reelviews.net/movies/h/how_stella.html,ReelViews,The issues that arise from such a May/September male/female pairing are sensitively and intelligently explored.,2000-01-01 00:00:00,16561,How Stella Got Her Groove Back
Ruthe Stein,rotten,0120703,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1998/08/14/DD31545.DTL,San Francisco Chronicle,I'm not denying that a 40-year- old woman might be self-conscious about going around with someone this young. But the subject isn't interesting or provocative enough to sustain an entire movie.,2000-01-01 00:00:00,16561,How Stella Got Her Groove Back
Emanuel Levy,fresh,0120831,http://www.emanuellevy.com/review/slums-of-beverly-hills-6/,Variety,"Funny, well acted comedy from a new director whose career shuld be watched",2009-03-26 00:00:00,14381,Slums of Beverly Hills
Lisa Alspector,fresh,0120831,http://onfilm.chicagoreader.com/movies/capsules/16820_SLUMS_OF_BEVERLY_HILLS,Chicago Reader,"Though hypocritical in the way it sensationalizes sexuality, this serious and funny 1998 movie about a 15-year-old coming to terms with her body and her family in 1976 is, refreshingly, never coy or ironic.",2007-01-12 00:00:00,14381,Slums of Beverly Hills
Wally Hammond,fresh,0120831,http://www.timeout.com/film/reviews/74831/slums_of_beverly_hills.html,Time Out,"A small film with plenty of incidental pleasures, writer/director Jenkins' debut feature puts a winning new spin on the adolescent comedy-drama.",2006-06-24 00:00:00,14381,Slums of Beverly Hills
Ray Conlogue,rotten,0120831,http://www.globeandmail.com/servlet/ArticleNews/movie/MOVIEREVIEWS/19980828/TASLUM,Globe and Mail,"There's an alchemy that can transform personal experience into a great film, but it was nowhere nearby when Tamara Jenkins wrote and directed this lacklustre first feature.",2002-07-12 00:00:00,14381,Slums of Beverly Hills
Jack Mathews,fresh,0120831,"http://www.calendarlive.com/movies/reviews/cl-movie980813-2,0,6464895.story",Los Angeles Times,"Generally Jenkins shows few rookie jitters, and she got excellent performances from the rest of her cast.",2001-02-14 00:00:00,14381,Slums of Beverly Hills
Mary Elizabeth Williams,fresh,0120831,http://www.salon.com/ent/movies/reviews/1998/08/28reviewb.html,Salon.com,"Dark, bitingly funny!",2000-01-01 00:00:00,14381,Slums of Beverly Hills
James Berardinelli,fresh,0120831,http://www.reelviews.net/movies/s/slums.html,ReelViews,"The character's struggles with the pitfalls of adolescent development may be particular to women, but many of the emotional ramifications will strike a chord of familiarity for men, as well.",2000-01-01 00:00:00,14381,Slums of Beverly Hills
Paul Tatara,fresh,0120831,http://www.cnn.com/SHOWBIZ/Movies/9808/23/review.slums/index.html,CNN.com,The best-written comedy I've seen since The Opposite of Sex.,2000-01-01 00:00:00,14381,Slums of Beverly Hills
Janet Maslin,fresh,0120831,http://movies.nytimes.com/movie/review?res=9507E0DF133AF937A2575BC0A96E958260&partner=Rotten Tomatoes,New York Times,"All of [the cast members], especially Ms. Lyonne and Mr. Arkin, project a crazy sincerity that turns this personal and nostalgic comedy into a very true story indeed.",2000-01-01 00:00:00,14381,Slums of Beverly Hills
Ruthe Stein,fresh,0120831,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1998/08/28/DD33912.DTL,San Francisco Chronicle,A hilarious comedy that never strains to be funny.,2000-01-01 00:00:00,14381,Slums of Beverly Hills
Roger Ebert,fresh,0120831,http://www.rogerebert.com/reviews/slums-of-beverly-hills-1998,Chicago Sun-Times,"Basically I enjoyed Slums of Beverly Hills -- for the wisecracking, for the family squabbles, for the notion of squatters who stake a claim in a Beverly Hills where money, after all, is not the only currency.",2000-01-01 00:00:00,14381,Slums of Beverly Hills
